名称,営業日,住所,アクセス
和牛焼肉&ワイン 萬事亭,月～日: 11:30～14:0017:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）祝日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,愛知県名古屋市昭和区桜山町４-70,名古屋市営地下鉄桜通線桜山駅8出口より徒歩約3分/名古屋市営地下鉄鶴舞線御器所駅3出口より徒歩約12分
社交酒場 美人罠,月、木～日、祝日、祝前日: 18:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,愛知県名古屋市昭和区鶴舞２-1-6,名古屋市営地下鉄鶴舞線鶴舞駅６出口より徒歩約2分/ＪＲ中央本線鶴舞駅公園口(西側)より徒歩約5分
九州男児のうまいもん OkiDoki おきどき 吹上,月～金: 18:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,愛知県名古屋市昭和区阿由知通１-9-1,名古屋市営地下鉄　桜通線吹上駅3番出口徒歩2分♪各種ご宴会のご予約承っております。4～10名様用の個室もあります!!
にわ とりのすけ 八事店,月～木: 17:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）金～日、祝日、祝前日: 17:00～翌3:00 （料理L.O. 翌2:00 ドリンクL.O. 翌2:30）,愛知県名古屋市昭和区八事本町１０１－１１　宮崎ビル１Ｆ,地下鉄名城・名港線 八事駅 徒歩3分／地下鉄鶴舞線 八事駅 1番出口 徒歩1分 
旬彩 凛,月～土: 11:00～14:00 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～21:00 （料理L.O. 20:30 ドリンクL.O. 20:30）,愛知県名古屋市昭和区緑町３-8,地下鉄「御器所」駅1番出口より徒歩1分
カフェ ヴェリーヌ,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:15 ドリンクL.O. 14:15）17:00～21:00 （料理L.O. 20:15 ドリンクL.O. 20:15）,愛知県名古屋市昭和区村雲町27-15 シャンブル村雲 1F,地下鉄線「荒畑駅」から徒歩11分/市バス「円上駅」から徒歩7分/JR・地下鉄線「鶴舞駅」から車で約5分程度。
CBDシーシャカフェ シンデレラ,月、火、木～日、祝日、祝前日: 19:00～翌0:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）,愛知県名古屋市昭和区北山町３-２２-２ シャトレ北山 B1F,御器所駅1番出口徒歩5分♪
餃子と酒 祥,月～土、祝日、祝前日: 17:00～23:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,愛知県名古屋市昭和区八事本町101-2 森本ビル1F,名古屋市営地下鉄鶴舞線八事駅6番出口徒歩1分/名古屋市営地下鉄名城線八事駅6番出口徒歩1分
Mcafe エムカフェ,月、火: 11:00～17:00水: 11:00～17:0019:00～翌2:00木、金: 19:00～翌2:00,愛知県名古屋市昭和区菊園町２-30-1,名古屋市営地下鉄桜通線桜山駅４出口より徒歩約7分
大衆炭火ほるもんひとすじもくもく 桜山店,月、火、木～日、祝日、祝前日: 16:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,愛知県名古屋市昭和区広見町５-61,《名古屋市営地下鉄桜通線》 桜山駅7出口より徒歩約4分 / 《名古屋市営地下鉄鶴舞線》 御器所駅3出口より徒歩約15分
にぎりの徳兵衛 川原店,月～金、祝前日: 11:00～22:15 （料理L.O. 22:00 ドリンクL.O. 22:00）土、日、祝日: 10:30～22:15 （料理L.O. 22:00 ドリンクL.O. 22:00）,愛知県名古屋市昭和区川原通１-21-1,地下鉄鶴舞線川名駅より北へ徒歩12分
炭火焼鳥 いっぽん道,月～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,愛知県名古屋市昭和区広路町字北石坂102-42,八事駅2番出口徒歩30秒。
バル タック BAR TACK 御器所店,月、水～日、祝日、祝前日: 18:00～翌1:00 （料理L.O. 23:30 ドリンクL.O. 翌0:00）,愛知県名古屋市昭和区阿由知通３‐１６　二葉ビル　１Ｆ,地下鉄御器所駅７番出口から徒歩30秒
札幌かに本家 名古屋八事店,月～金、祝前日: 11:30～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）土、日、祝日: 11:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,愛知県名古屋市昭和区八事本町100-37,地下鉄鶴舞線八事駅より徒歩2分
ポカラ,月、水～金、祝日、祝前日: 17:30～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）土、日: 17:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,愛知県名古屋市昭和区台町３－６　大和ビル1Ｆ,御器所駅3番出口を出る。左手の賃貸住宅サービスの前を直進。一つ目の信号を左折。100ｍほど直進すると右手にあります。
や台ずし 御器所町,月～金、祝前日: 16:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）土、日、祝日: 15:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）,愛知県名古屋市昭和区御器所通３丁目4番地　3階 メガバックス御器所駅前ビル１Ｆ,地下鉄御器所駅徒歩1分
石焼&ワイン イワタ,月、火、木～日: 11:30～14:0017:30～22:00 （料理L.O. 21:00）,愛知県名古屋市昭和区桜山町５-98,地下鉄桜通線桜山駅８番出口すぐ!!徒歩1分
寿司奴,月、火、木～日、祝日、祝前日: 16:00～23:00 （料理L.O. 22:30）,愛知県名古屋市昭和区広路通７丁目２番地１川名ダイヤハイツA棟１０４号,名古屋市営地下鉄鶴舞線川名駅4番出口から徒歩30秒
赤から 八事店,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,愛知県名古屋市昭和区広路町北石坂102-54,地下鉄名城線・鶴舞線　八事駅より徒歩1分
新時代 八事店,月～木: 17:00～翌2:00 （ドリンクL.O. 翌1:30）金～日: 17:00～翌3:00 （ドリンクL.O. 翌2:30）,愛知県名古屋市昭和区広路町字北石坂１０２－１４２,名古屋市営地下鉄鶴舞線【八事駅】直結
桜山餃子工房,月、火、木～日: 11:00～14:00 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,愛知県名古屋市昭和区桜山町３-50,地下鉄桜通線桜山駅　8番出口から徒歩約4分
あみやき亭 円上店,月～金: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 11:30～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,愛知県名古屋市昭和区白金３-5-5,名古屋市営地下鉄鶴舞線鶴舞駅５出口より徒歩約22分
東寿司 八事,月、水～日、祝日、祝前日: 11:00～14:00 （料理L.O. 13:30）17:00～20:00 （料理L.O. 19:30）,愛知県名古屋市昭和区広路町石坂36,地下鉄鶴舞線八事駅4番出口より徒歩2分
丸八寿司 八事店,火～日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,愛知県名古屋市昭和区滝川町47-6 1階,市営地下鉄鶴舞線いりなか駅より徒歩3分市営地下鉄八事駅より徒歩10分
木曽路 八事店,月～土、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～21:30 （料理L.O. 20:30 ドリンクL.O. 20:30）日、祝日: 11:00～21:30 （料理L.O. 20:30 ドリンクL.O. 20:30）,愛知県名古屋市昭和区広路町字隼人3-1,地下鉄鶴舞線）いりなか駅～徒歩5分／八事駅～徒歩8分
カフェダイニング 花音 御器所,火～土、祝日、祝前日: 11:00～17:0018:00～21:00日: 11:00～17:00,愛知県名古屋市昭和区天神町３-6　アーバン佐々木36　1階,地下鉄鶴舞線・桜通線 御器所駅より徒歩2分
高級食パン専門店 とく川 桜山店,月～水、金～日: 10:00～18:00,愛知県名古屋市昭和区桜山町４-70-24,名古屋市営地下鉄桜通線　桜山駅より1分
焼肉三丁目,月、火、木～日、祝日、祝前日: 17:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,愛知県名古屋市昭和区塩付通３－１５ ,地下鉄御器所駅
コンパル 御器所店,月～日、祝日、祝前日: 08:00～21:00 （料理L.O. 20:30）,愛知県名古屋市昭和区御器所通２-9,御器所駅から徒歩5分
VEGETRICOT.,月～日、祝日、祝前日: 10:00～18:00 （料理L.O. 18:00 ドリンクL.O. 18:00）,愛知県名古屋市昭和区広路町石坂30-16,名古屋市営地下鉄鶴舞線八事駅３出口よりすぐ
台湾料理 中華園,月～水、金～日、祝日、祝前日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:30～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）木: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）,愛知県名古屋市昭和区檀溪通４-20,名古屋市営鶴舞線　川名駅から徒歩8分
Dining Kano,月～水、金～日、祝日、祝前日: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:00）17:30～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）,愛知県名古屋市昭和区檀溪通２-45-2,名古屋市営地下鉄鶴舞線川名駅３番出口より徒歩約5分
Pancha タピオカ専門店,月～土、祝日、祝前日: 12:00～20:00,愛知県名古屋市昭和区山手通３-16-4 ,八事日赤駅徒歩1分
笠置,月、火、木～土、祝日、祝前日: 11:30～13:3018:00～22:00日: 18:00～22:00,愛知県名古屋市昭和区川原通２-11,川名駅から徒歩15分
タコ焼きこんちゃん一丁目,月、火、木～土、祝日、祝前日: 11:00～19:00 （料理L.O. 18:30）,愛知県名古屋市昭和区東畑町１-30,地下鉄鶴舞線荒畑駅から徒歩1分
うなぎ家 比呂野,月～日、祝日、祝前日: 11:00～14:30 （料理L.O. 14:00）17:00～21:00 （料理L.O. 20:30）,愛知県名古屋市昭和区山花町１１９－１,市営地下鉄鶴舞線川名駅より徒歩10分です。県道30号を北へ川原通7の信号を右折し、すぐ左折し100m程の右側のお店です。
ハロキ 山手通店,月、水～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,愛知県名古屋市昭和区山手通１-6,名古屋市営地下鉄名城線名古屋大学駅１出口より徒歩約4分/名古屋市営地下鉄東山線本山(愛知)駅５出口より徒歩約20分
花果 ホアクア,月、火、金: 10:00～17:00水、土: 10:00～19:00,愛知県名古屋市昭和区台町３丁目３－１,名古屋市営地下鉄桜通線・鶴舞線御器所駅３出口より徒歩約2分
酒と肴 なち流,火～日、祝日、祝前日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 23:00）,愛知県名古屋市昭和区下構町１-2-1,桜通線「桜山駅」1番出口を出て徒歩3分。環状線を北に進み一つ目の信号右折一本目の十字路の左手にあります
とんかつ家 比呂野,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30）17:00～21:30 （料理L.O. 21:00）,愛知県名古屋市昭和区山花町１１６番地,鶴舞線川名駅より徒歩10分です。
珈琲家比呂野,月～日、祝日、祝前日: 07:00～21:00 （料理L.O. 20:30）,愛知県名古屋市昭和区山花町１１６,川名駅から徒歩10分。県道30号線を北へ進み、河原通り7交差点を右折し、国道153号に入る。1筋目を左折して直進します。
ふくろうカフェ もふりこっと,火、金～日: 11:00～17:00,愛知県名古屋市昭和区吹上町２丁目２７－３　３階,吹上駅4出口より徒歩約7分。御器所駅8出口より徒歩約11分。
韓国コンビニ　マンナヨ,月～日、祝日、祝前日: 10:30～21:00 （料理L.O. 20:30）,愛知県名古屋市昭和区桜山町５-95-1,地下鉄桜通線　桜山駅　8番出口　徒歩1分以内市バス　桜山　下車徒歩1分以内
みそおでん 和風創作 湊屋,月～土、祝日: 17:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）,愛知県名古屋市昭和区紅梅町３丁目5-4,地下鉄 鶴舞線・桜通線 [御器所駅] 2番・3番出口より徒歩1分御器所駅から98m
もも屋 御器所店,火～木: 17:30～22:00 （料理L.O. 21:30 ドリンクL.O. 21:40）金: 17:30～23:00 （料理L.O. 22:30 ドリンクL.O. 22:40）土: 17:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:40）日: 17:00～21:00 （料理L.O. 20:30 ドリンクL.O. 20:40）,愛知県名古屋市昭和区御器所通３－１８　STプラザGOKISO　B1F,地下鉄鶴舞線・桜通線御器所駅2番出口より徒歩2分
四方縁,月、水～日、祝日、祝前日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:30～20:00 （料理L.O. 19:30 ドリンクL.O. 19:30）,愛知県名古屋市昭和区白金１丁目15-15,名古屋市営地下鉄鶴舞線鶴舞駅５出口より徒歩約16分
叶盛,月、火、木～日、祝日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～21:30 （料理L.O. 21:00 ドリンクL.O. 21:00）,愛知県名古屋市昭和区御器所通１丁目２,荒畑駅3番出口前(徒歩30秒以内)
Mega Kebab メガケバブ 名大店,月～金、祝日、祝前日: 08:00～20:30 （料理L.O. 20:00 ドリンクL.O. 20:00）土、日: 09:00～21:30 （料理L.O. 21:00 ドリンクL.O. 21:00）,愛知県名古屋市昭和区宮東町２６０番地 名古屋学生青年センター1階,名古屋大学駅より徒歩5分です★
きしめん家 天むす 比呂野,月～日、祝日、祝前日: 11:00～14:30 （料理L.O. 14:00）,愛知県名古屋市昭和区山花町119-1,鶴舞線川名駅から徒歩7分
すすきの亭,月: 10:30～14:00水～日、祝日、祝前日: 10:30～14:0018:00～21:30 （料理L.O. 21:15 ドリンクL.O. 21:15）,愛知県名古屋市昭和区緑町３－８,鶴舞線、桜通線御器所駅1番出口から徒歩3分です。
台湾料理 味鮮館,月～日、祝日、祝前日: 11:30～14:0017:00～翌1:00,愛知県名古屋市昭和区桜山町５丁目98-4,名古屋市営地下鉄桜通線桜山駅８出口より徒歩約0分
炉端焼き 白雲,月、水～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,愛知県名古屋市昭和区塩付通３-13,地下鉄 [御器所駅] 2番または、3番出口より徒歩5分
寿司Dining 魚道,火～日、祝日、祝前日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,愛知県名古屋市昭和区広路町字石坂30-15,地下鉄名城線／鶴舞線 八事駅下車 3番出口から徒歩1分八事駅から85m
おうち菓子マダム アン,火～土: 08:30～18:30,愛知県名古屋市昭和区長戸町４丁目２番地,川名駅から徒歩10分
うどん坊 一休,月～水、金～日、祝日、祝前日: 11:30～14:30 （料理L.O. 14:30）17:30～21:00 （料理L.O. 20:30）,愛知県名古屋市昭和区広路町石坂16,地下鉄鶴舞線八事駅より徒歩2分
CAFE GALLERY 寸心,月～土、祝前日: 10:00～19:00日、祝日: 11:00～16:00,愛知県名古屋市昭和区御器所通２-17-1,地下鉄鶴舞線・桜通線 御器所駅 6番出口より徒歩1分
ラ リリアーナ,月、火、木～日、祝日、祝前日: 11:30～14:00 （料理L.O. 12:30 ドリンクL.O. 12:30）17:30～22:00 （料理L.O. 20:30 ドリンクL.O. 20:30）,愛知県名古屋市昭和区滝川町47-24 光洋マテリカビル　１Ｆ,地下鉄鶴舞線・名城線　八事駅１番出口より徒歩10分八事日赤駅から403m
わがや,月～土、祝前日: 17:30～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,愛知県名古屋市昭和区阿由知通１丁目9-3,名古屋市営地下鉄桜通線吹上(愛知)駅３出口より徒歩約3分/名古屋市営地下鉄鶴舞線御器所駅８出口より徒歩約12分
とれび庵,月、火、木～日、祝日、祝前日: 17:30～22:00,愛知県名古屋市昭和区川名山町100,鶴舞線 いりなか駅(出口1) 歩5分(390m)　名城線 八事日赤駅(出口1) 歩11分(810m)　名城線 八事駅(出口4) 歩14分(1.1km)
くまもと屋台,火～日: 17:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,愛知県名古屋市昭和区広見町２丁目21-5青雲ビル１F,桜通線桜山駅から徒歩9分名古屋市営バス金山行きから滝子降車徒歩1分
中国料理 香蘭楼,月～土: 11:30～14:0017:30～23:00,愛知県名古屋市昭和区山手通１-17-1シャンボール山手,名城線　名古屋大学駅徒歩3分
アニマル クック ズー 荒畑,月、火、木、金: 13:00～19:00 （ドリンクL.O. 18:00）土: 13:00～19:00 （ドリンクL.O. 19:00）日、祝日、祝前日: 11:30～20:00 （ドリンクL.O. 19:00）,愛知県名古屋市昭和区天神町１-4,名古屋市営地下鉄鶴舞線荒畑駅３出口より徒歩約3分
ポケットカフェ,月～土、祝前日: 09:30～19:00 （料理L.O. 18:30 ドリンクL.O. 18:30）祝日: 09:30～18:00 （料理L.O. 17:30 ドリンクL.O. 17:30）,愛知県名古屋市昭和区御器所３－５－３パックス荒畑1-E,地下鉄鶴舞線荒畑駅から徒歩2分。3番出口を出て右折し、直進90ｍ先右側です。
御膳坊チャイナキッチン,火～金: 11:30～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）18:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日: 18:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,愛知県名古屋市昭和区御器所１-6-27,地下鉄鶴舞線荒畑駅、鶴舞駅から徒歩7分名古屋市営バス東郊通3バス停より徒歩1分
広客栄,月、水～日、祝日、祝前日: 11:30～14:0017:30～23:30火: 11:30～14:00,愛知県名古屋市昭和区花見通１-5-1,名古屋市営鶴舞線川名駅1番出口徒歩5分
plants holic little monster リトル モンスター,月～日、祝日、祝前日: 10:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）,愛知県名古屋市昭和区円上町4-16,名古屋市営地下鉄鶴舞線荒畑駅４出口より徒歩約20分/名古屋市営地下鉄鶴舞線鶴舞駅５出口より徒歩約25分
日本料理 まめぞう,火～日、祝日、祝前日: 12:00～14:3018:00～22:00,愛知県名古屋市昭和区紅梅町２-２１-５,御器所駅から徒歩約2分
串カツ田中 御器所店,月～金、祝前日: 17:00～翌1:00土、日、祝日: 12:00～翌1:00,愛知県名古屋市昭和区阿由知通３-16-6,御器所駅 徒歩2分
BENKEI いりなか店,月～日、祝日、祝前日: 10:00～15:00,愛知県名古屋市昭和区隼人町6-14 小林ビル 1F,いりなか駅2出口から徒歩約1分
JUNOS,月～土、祝日、祝前日: 11:30～14:30 （料理L.O. 14:30 ドリンクL.O. 14:30）17:30～20:30 （料理L.O. 20:30 ドリンクL.O. 20:30）,愛知県名古屋市昭和区塩付通１-45-5 2F,地下鉄御器所より徒歩５分
おでん居酒屋 美ゆき,月～土、祝日、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,愛知県名古屋市昭和区山手通５-32-2パークいとう1F,名古屋地下鉄名城線・鶴舞線　八事駅中京大学アネックス出口より徒歩１分八事駅から109m
Seattle Sandwich Cafe,月～日、祝日、祝前日: 12:30～23:30,愛知県名古屋市昭和区広路町102-148 パーク八事1階,八事駅1番出口を出て左へ徒歩30秒
山手カフェ,月～土、祝前日: 11:00～18:00,愛知県名古屋市昭和区山手通１－１７－１  シャンボール山手A棟１０１,名古屋大学駅から253m
寅右衛門,火～日、祝日、祝前日: 11:00～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）17:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,愛知県名古屋市昭和区阿由知通１丁目7-10ブライトプレイスあゆち,地下鉄吹上駅下車。吹上駅から189m。
Chinese dining TAO TAO タオタオ,月、水～日、祝日、祝前日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:30～22:30 （料理L.O. 22:00 ドリンクL.O. 22:00）,愛知県名古屋市昭和区塩付通２丁目12,地下鉄鶴舞線、桜通線 御器所駅から徒歩5分
らぁめん翠蓮,月、日: 11:30～14:00 （料理L.O. 13:50）木～土: 11:30～14:00 （料理L.O. 13:50）18:30～21:00 （料理L.O. 20:50）,愛知県名古屋市昭和区花見通３-１１ １Ａ,名古屋市営地下鉄鶴舞線いりなか駅から徒歩3分
王様のフレンチ,月、火、金～日、祝日、祝前日: 11:30～14:0018:00～22:00,愛知県名古屋市昭和区緑町３丁目8,名古屋市営地下鉄鶴舞線御器所駅１出口より徒歩約1分
Funnys cafe,月、火、日、祝日、祝前日: 08:30～17:00 （料理L.O. 16:30）木: 08:30～17:00金: 08:30～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）,愛知県名古屋市昭和区松風町３-９-３,地下鉄御器所駅から徒歩約7分　　昭和生涯学習センター前
SAISHOKUKENBI,月、水～日、祝日、祝前日: 11:00～17:0018:00～20:00,愛知県名古屋市昭和区広路町石坂37-6,市営地下鉄鶴舞線、名城線八事駅より徒歩6分
炭火焼 焼鶏 まんだらや しらかねみせ,月～土: 11:30～14:00 （料理L.O. 13:20 ドリンクL.O. 13:20）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,愛知県名古屋市昭和区白金２－３－５,中央本線鶴舞駅より徒歩13分。6番出口を出て高速道路沿いに南下し、白金1丁目(交差点)を右折。50m進んだ左手です。
ごはんカフェ もふりこっと 名古屋吹上店,月～水、金～日、祝日、祝前日: 12:00～21:00,愛知県名古屋市昭和区吹上町２-２７-３　1F,名古屋市営地下鉄桜通線吹上(愛知)駅４出口より徒歩約7分
nodate ノダテ,月、火: 18:00～翌0:00水～日: 11:30～翌0:00,愛知県名古屋市昭和区台町３丁目３-１宝扇ビル1階中,名古屋市営地下鉄鶴舞線・桜通線御器所駅３出口より徒歩約2分
パスタフレスカ ミウ,月、火、木～日、祝日、祝前日: 11:30～14:00 （料理L.O. 14:00 ドリンクL.O. 14:00）17:30～22:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,愛知県名古屋市昭和区石仏町２-6,名古屋市営地下鉄鶴舞線，名古屋市営地下鉄桜通線御器所駅３出口より徒歩約5分
カレー食堂 ホジャ・ナスレッディン,火、水、金、土、祝日、祝前日: 11:00～14:0017:30～21:00木: 11:00～14:00,愛知県名古屋市昭和区宮東町３５８－１,市営地下鉄名城線名古屋大学駅１番出口から、徒歩７分です。
丸亀製麺 昭和白金店,月～金、祝前日: 10:45～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）土、日、祝日: 10:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）,愛知県名古屋市昭和区福江３-５０２-１,各線『金山駅』(通称「金山総合」)から徒歩15分。福江2丁目交差点すぐ。
らーめん 三吉,火～日、祝日、祝前日: 11:30～14:3018:00～22:00,愛知県名古屋市昭和区鶴舞４‐１５‐１６,地下鉄荒畑駅の1番出口を出て、徒歩3分の場所にあります。
